idRun,idTrans,trantype,bfbSMViol,bfbRefViol,Tnuc,vn,dV,dVdT,vhi,vhf,vsi,vsf,vri,vrf,muRef,muMin,muMax,scaleFactor,muh,mus,mur,lamh,lams,lamr,ghs,ghr,ghr2,grs,a1,g1sq,g2sq,g3sq,Yt,Yb,Ytau,mR1,mR2,mS,Tc,Tn,Tp,STTn,STTp,alpha,betaH,fpeak,Ompeak,npoints_list,Tn_list,Tp_list,alpha_list,betaH_list,fpeak_list,Ompeak_list,vJ_list,SPolyCoeff_list
2,1,1,[0 3 5 6],,244.3526322,795.2782405,2071592.817,-251702064.4,764.0853492,795.2782405,0.001991684,-130.363963,-0.000970992,64.7920039,976.0868372,700,6283.185307,1,-9259.229284,1441858.489,5270705.75,0.270849696,2.540469056,1.250925527,1.105810025,0.642304628,-5.208567624,3.017641885,5444.122817,0.131063794,0.407379196,1.120109451,0.863130576,0.014591654,0.010099586,2300.030566,1121.526922,2366.141784,244.3611321,244.3526322,244.3501151,142.2951167,90.39610351,0.449655793,7229710.182,79.43564933,2.27E-22,"[60, 75, 100]","[244.35279124616392, 244.35279396916363, 244.3527944683444]","[244.35011710841587, 244.35011536973212, 244.3501151214199]","[0.11243355471600448, 0.11243356057131765, 0.11243356154142344]","[3390717.202312934, 3394814.447971462, 3391312.7011294947]","[79.42170144657469, 79.51767179252876, 79.43564933316036]","[2.266980217272089e-22, 2.2615117335835023e-22, 2.2661845066770206e-22]","[0.7850519984797036, 0.785052002275123, 0.7850520029039465]","[array([ 1.96898132e+10, -1.40509174e+03, -1.97870891e+05, -1.07969189e+03,
       -3.31390260e+00,  4.05448340e-07,  9.25076311e-05]), array([ 1.95195754e+10, -1.45923390e+03, -1.96159934e+05, -1.07035615e+03,
       -3.28525305e+00,  3.90156454e-07,  9.17078780e-05]), array([ 1.95325464e+10, -1.31089619e+03, -1.96290512e+05, -1.07106909e+03,
       -3.28744330e+00,  3.92310664e-07,  9.17689382e-05])]"
20,0,1,[0 3 5 6],,341.2602006,1553.892589,3.41104E+11,-35132484929,-7.76E-09,1553.892589,2.08E-09,-805.4157237,2.59E-10,764.4032244,1090.285275,700,6283.185307,1,-9296.102917,1919373.166,4483703.296,0.270852951,4.218420676,2.415927881,0.965545725,2.508835535,2.405788078,2.028169176,9400.508434,0.131228488,0.406644089,1.107936162,0.859102825,0.014524898,0.010105375,2135.325652,1074.10765,2304.879436,352.7454334,341.2602006,339.7955414,140.0008715,115.2831436,23.69546602,3156.288708,0.161102572,4.20E-14,"[60, 75, 100]","[341.542278019253, 341.5419403180073, 341.54233067679394]","[339.7951036814011, 339.79447484398025, 339.7955414188267]","[6.602643772851099, 6.602725241717247, 6.60258709465338]","[4947.5480180493805, 4946.440979603402, 4945.950125515508]","[0.16115441205718464, 0.16111805478535304, 0.16110257211047577]","[4.1962983914630865e-14, 4.1981930468191107e-14, 4.1989990023625325e-14]","[0.9871977700242063, 0.9871979196056682, 0.9871976659577555]","[array([-5.47379665e+09,  6.46107928e+07, -2.38426556e+05,  1.12011828e+00,
        2.07066037e+00, -4.89071434e-03,  3.60848268e-06]), array([-3.79515823e+09,  4.48420888e+07, -1.65687948e+05,  1.28162688e+00,
        1.43934270e+00, -3.40406800e-03,  2.51428241e-06]), array([-3.47633864e+09,  4.10937414e+07, -1.51927991e+05,  1.41642864e+00,
        1.31978345e+00, -3.12318571e-03,  2.30790149e-06])]"
35,1,1,[0 3 5 6],,310.3202818,938.2216303,327391150.6,-1881712164,788.3406794,938.2216303,0.000136705,-310.0024747,-7.87E-05,197.9004281,1149.343922,700,6283.185307,1,-9313.64735,1480607.343,6705170.215,0.270864363,2.497590493,1.012475955,3.129909165,0.776526549,-3.437479878,0.987476028,7515.257267,0.131307156,0.406294542,1.102224905,0.857203299,0.014493418,0.010108087,2593.9673,1125.113249,2664.235275,310.5001763,310.3202818,310.282843,140.1699312,99.96673992,1.64208634,437418.6923,7.818412139,8.05E-19,"[60, 75, 100]","[310.3247918232578, 310.3246717082929, 310.3245374158811]","[310.28276742041584, 310.28281544878894, 310.28284301184493]","[0.4115720680073671, 0.4115716058548394, 0.41157134240645393]","[264069.8089232495, 263695.9576978304, 262860.7437527472]","[7.854372117646194, 7.843253671129276, 7.818412138651542]","[7.975232841114534e-19, 7.997844358501397e-19, 8.0487394575340085e-19]","[0.8809420005620217, 0.8809419228820227, 0.8809418786007703]","[array([-5.94625014e+10,  1.91855340e+08,  6.17831355e+05, -1.72999723e+00,
       -6.42583690e+00, -2.06966672e-02,  6.67738590e-05]), array([-7.14193544e+10,  2.30393296e+08,  7.42077932e+05, -2.21553933e+00,
       -7.71467884e+00, -2.48548138e-02,  8.01727912e-05]), array([-9.09705153e+10,  2.93409600e+08,  9.45142579e+05, -2.01824241e+00,
       -9.82685152e+00, -3.16421474e-02,  1.02069753e-04])]"
48,0,1,[0 3 5 6],,430.6709792,1624.292962,6.64709E+11,-19915843382,1.42E-09,1624.292962,4.94E-10,-1063.971108,-1.93E-09,1180.72878,1239.327292,700,6283.185307,1,-9338.677788,1442721.752,4828623.474,0.270891555,2.177834496,0.496475347,2.660714633,-1.669766772,-4.820417631,2.274018851,8501.692558,0.131419729,0.405796111,1.094165471,0.854511926,0.014448819,0.01011191,2185.886473,981.0397405,2328.755133,469.502403,430.6709792,426.2729417,139.9998229,118.3628655,7.001772192,1182.136829,0.075212368,1.76E-13,"[60, 75, 100]","[431.4772764378135, 431.4786933020705, 431.4782878565292]","[426.2735207111872, 426.27317347979937, 426.27294166531317]","[2.2703423571092163, 2.270353950301762, 2.2703616841310623]","[1839.5049026258869, 1839.9653985268037, 1840.6297309872955]","[0.07516650737989065, 0.07518526308410665, 0.07521236835088037]","[1.7594856149683472e-13, 1.7586119340137498e-13, 1.7573473137387835e-13]","[0.9661375182605436, 0.9661376677138359, 0.9661377674135265]","[array([ 3.91897645e+09, -5.52510781e+07,  3.24553639e+05, -1.01676526e+03,
        1.79171205e+00, -1.68386148e-03,  6.59365871e-07]), array([ 4.09891941e+09, -5.78229349e+07,  3.39867273e+05, -1.06538808e+03,
        1.87853949e+00, -1.76654247e-03,  6.92166103e-07]), array([ 5.02257006e+09, -7.08529697e+07,  4.16453960e+05, -1.30545971e+03,
        2.30182364e+00, -2.16456075e-03,  8.48101211e-07])]"
57,1,1,[0 3 5 6],,305.9523848,1127.279844,23056764308,-2873834279,477.4601812,1127.279844,-1.65E-05,-593.0429383,1.23E-05,512.5049078,1152.107912,700,6283.185307,1,-9314.445662,1301712.518,2018972.985,0.270865032,1.12295279,2.158779291,1.439994724,-0.374179195,-2.822935372,1.44143032,4241.62652,0.13131074,0.40627864,1.101966256,0.857117123,0.01449199,0.01010821,1416.916042,939.1353144,1587.537395,314.539907,305.9523848,305.0073611,139.9995154,114.045175,2.683933799,13454.2351,0.201952536,3.35E-15,"[60, 75, 100]","[306.1402340084643, 306.14364790799254, 306.1382891359468]","[304.99628861274374, 304.99760750218684, 305.0073610641325]","[0.7380966725564642, 0.7380748275680156, 0.7379133053596615]","[7015.945762058495, 7264.322054870203, 6907.230121668042]","[0.20512370071105201, 0.2123863434996507, 0.2019525361920505]","[3.2508578678756908e-15, 3.0322131021082294e-15, 3.352665577694322e-15]","[0.9180209445432351, 0.918019257877386, 0.9180067844292165]","[array([ 2.27676798e+11, -2.98525643e+09,  1.22250967e+07,  8.78917505e+01,
       -1.31856318e+02,  3.45572966e-01, -2.83179393e-04]), array([ 1.09619721e+10, -1.42959449e+08,  5.81502765e+05,  1.39316316e+01,
       -6.25801083e+00,  1.62871051e-02, -1.32692974e-05]), array([ 3.11113632e+11, -4.08092143e+09,  1.67217307e+07,  8.19438584e+01,
       -1.80282616e+02,  4.72764768e-01, -3.87564672e-04])]"
63,1,1,[0 3 5 6],,431.1275432,4355.688654,6.10987E+13,-5.23719E+11,-2.27E-09,4355.688654,2.47E-10,2310.354414,3.49E-09,-6556.025296,1124.275787,700,6283.185307,1,-9306.315913,19687223.51,1267640.838,0.270858825,4.241035824,0.217524761,1.821465606,-2.26983255,-3.845484858,-0.177785953,9431.262487,0.131274258,0.406440592,1.10460524,0.857995754,0.01450655,0.010106957,1094.970431,1059.05641,4459.470343,637.1531463,431.1275432,415.9700431,139.999802,124.7656321,216.4311256,3604.331712,0.015877173,8.84E-12,"[60, 75, 100]","[435.48857586364954, 435.4690352659934, 435.44466297341387]","[415.99153343282586, 415.9575650266484, 415.9700431063208]","[107.20619274160428, 107.25226852938208, 107.23534128590548]","[396.6309139435944, 396.7983374978504, 398.17690238932494]","[0.01581634457291878, 0.015821728824828254, 0.015877173274583243]","[8.909754801794034e-12, 8.902323773386501e-12, 8.840755977794741e-12]","[0.9991697979352243, 0.9991701533408298, 0.9991700228078977]","[array([ 2.39092182e+05, -3.41297463e+03,  2.02385123e+01, -6.38350688e-02,
        1.13004146e-04, -1.06487094e-07,  4.17509356e-11]), array([ 2.06103169e+05, -2.94591011e+03,  1.74897236e+01, -5.52280551e-02,
        9.78819149e-05, -9.23522175e-08,  3.62598504e-11]), array([ 1.75834828e+05, -2.52660988e+03,  1.50789737e+01, -4.78646138e-02,
        8.52799581e-05, -8.08943377e-08,  3.19359565e-11])]"
67,0,1,[3 6],,376.0783687,1596.059544,4.63451E+11,-37726633233,-2.13E-09,1596.059544,-8.91E-10,-1055.069843,3.70E-10,670.5227914,1165.117657,700,6283.185307,1,-9318.177055,1798209.561,4081312.952,0.270868335,2.321290006,4.236474912,-0.013476536,2.761549584,-0.472262452,1.674940675,9204.20113,0.131327499,0.406204318,1.100758707,0.856714625,0.01448532,0.010108783,2040.801783,995.9891029,2231.351516,390.8313273,376.0783687,374.0784043,139.9982012,116.0235732,19.08983346,1910.793245,0.136164969,6.65E-14,"[60, 75, 100]","[376.44669367758, 376.4509794915636, 376.4468308437749]","[374.0712703741581, 374.0797081129349, 374.07840425563506]","[5.401646896142024, 5.400893211821859, 5.401009662709522]","[3824.49473785217, 3806.284421157017, 3797.236863010516]","[0.13713979244560012, 0.13648988052632036, 0.13616496875479714]","[6.557844617753601e-14, 6.620399985593298e-14, 6.652039393789983e-14]","[0.9845333967620599, 0.9845313761984834, 0.9845316884279238]","[array([ 2.74235517e+09, -2.93067004e+07,  9.78597441e+04,  8.67406285e-02,
       -6.98746026e-01,  1.49304102e-03, -9.96980935e-07]), array([ 3.81062532e+09, -4.07335577e+07,  1.36060898e+05,  2.66357720e-02,
       -9.71612807e-01,  2.07682260e-03, -1.38721587e-06]), array([ 6.77294397e+09, -7.24304964e+07,  2.42069953e+05, -2.20613788e-01,
       -1.72898247e+00,  3.69788548e-03, -2.47124874e-06])]"
81,0,1,[0 3 5 6],,353.8560449,1299.304746,4.49101E+11,-14789571778,5.11E-10,1299.304746,2.02E-09,-887.7556176,-2.05E-09,1166.869647,999.3956757,700,6283.185307,1,-9267.102869,2538273.137,1867592.135,0.27084802,2.77767503,0.922737166,2.722043106,-1.179555416,-5.402166638,0.700003035,7571.379147,0.131098887,0.407222181,1.117490603,0.862266478,0.014577332,0.010100832,1353.477428,954.6912849,1906.69226,389.5759051,353.8560449,350.0156903,139.9999053,119.5872802,9.446290938,1918.896971,0.05477978,2.78E-13,"[60, 75, 100]","[354.7540859446576, 354.75530345562316, 354.7536861447836]","[350.0153736542625, 350.01491039523734, 350.0156903147889]","[3.1287619359609984, 3.128787808145874, 3.128744246177845]","[1632.944246101254, 1631.7390453350295, 1632.6673412444454]","[0.05478902128768657, 0.05474851157841654, 0.05477978005469884]","[2.775266544177074e-13, 2.7793813042633193e-13, 2.776198702093128e-13]","[0.9744716303765988, 0.9744718195923072, 0.9744715010011038]","[array([ 2.80924165e+09, -4.83710686e+07,  3.47013405e+05, -1.32764391e+03,
        2.85704107e+00, -3.27889977e-03,  1.56786200e-06]), array([ 2.99365330e+09, -5.15417019e+07,  3.69727059e+05, -1.41442431e+03,
        3.04353907e+00, -3.49265714e-03,  1.66994485e-06]), array([ 3.11191631e+09, -5.35644712e+07,  3.84140370e+05, -1.46919022e+03,
        3.16057220e+00, -3.62601991e-03,  1.73325551e-06])]"
86,0,1,,,365.4359527,1538.240988,3.93516E+11,-26189342108,6.34E-10,1538.240988,-3.50E-10,-960.597986,5.50E-10,884.1062283,1180.352069,700,6283.185307,1,-9322.492652,1466754.444,6083307.974,0.27087251,2.026681254,1.193831608,2.895752355,1.282776717,-0.634772854,1.680639259,9027.321784,0.131346892,0.406118369,1.099364988,0.856249718,0.014477615,0.010109445,2474.292269,1033.247943,2572.932992,382.6718267,365.4359527,363.5032847,140.0004413,115.9378575,14.56197802,3450.575488,0.138533093,5.48E-14,"[60, 75, 100]","[365.795451647266, 365.79498239883264, 365.7973119785932]","[363.50380772207063, 363.50392009987286, 363.503284749879]","[4.2209838064744565, 4.220974986378661, 4.221024886869641]","[3981.0355843013836, 3974.5515077127106, 3975.6681267750123]","[0.1387203224323204, 0.13849442574666646, 0.13853309253360943]","[5.4633255573579575e-14, 5.481160540140727e-14, 5.478111901725935e-14]","[0.9805532406221387, 0.9805532032264969, 0.9805534147938307]","[array([ 1.11045379e+09, -1.22620048e+07,  4.23072768e+04,  1.84650057e-02,
       -3.22352819e-01,  7.11602130e-04, -4.90868089e-07]), array([ 1.47846707e+09, -1.63175166e+07,  5.62644120e+04,  1.14485702e-01,
       -4.28738193e-01,  9.45907395e-04, -6.52226566e-07]), array([ 2.18202928e+08, -2.41565840e+06,  8.35656461e+03, -3.36439089e-02,
       -6.37055762e-02,  1.40847243e-04, -9.72294138e-08])]"
95,2,1,[0 3 5 6],,317.2572859,2127.620192,9.47314E+11,-41481373844,-1.14E-09,2127.620192,9.47E-10,-1207.213411,-1.13E-10,836.9215597,906.1350298,700,6283.185307,1,-9234.383326,2088408.827,4051506.454,0.270863463,2.62545935,6.095642523,-0.103095383,-1.915820551,-4.581964453,0.990684489,7576.196035,0.130953319,0.407874831,1.128443339,0.865871856,0.014637094,0.010095617,1998.383736,1195.260872,2174.907546,346.8498295,317.2572859,313.7413794,139.9998602,120.4866634,36.29409872,984.4228046,0.046234375,4.99E-13,"[60, 75, 100]","[318.12858509386456, 318.1293452728094, 318.141320971499]","[313.74374138997666, 313.74333898148933, 313.741379433314]","[11.619971269884896, 11.620056580110472, 11.620472214914866]","[1544.8149048564503, 1538.7595100372228, 1537.2982329158694]","[0.04646078975279707, 0.04627861250912082, 0.046234375432563334]","[4.940507367715771e-13, 4.979474891785506e-13, 4.988979081740577e-13]","[0.9925542606561818, 0.9925543136184933, 0.9925545716421983]","[array([ 6.36804746e+09, -1.21246002e+08,  9.61750720e+05, -4.06819368e+03,
        9.67851326e+00, -1.22789148e-02,  6.49001830e-06]), array([ 7.61890561e+09, -1.45098837e+08,  1.15125769e+06, -4.87111624e+03,
        1.15919292e+01, -1.47106072e-02,  7.77756081e-06]), array([ 3.43527261e+08, -5.92686145e+06,  4.20628541e+04, -1.56637582e+02,
        3.21172126e-01, -3.41087135e-04,  1.44631850e-07])]"
